"Time","Palomino"
"2026-02-02T15:44:00Z",39
"2026-02-02T16:00:00Z",40
"2026-02-02T16:16:00Z",0
"2026-02-02T16:32:00Z",32
"2026-02-02T16:48:00Z",0
"2026-02-02T17:04:00Z",0
"2026-02-02T17:20:00Z",44
"2026-02-02T17:36:00Z",52
"2026-02-02T17:52:00Z",43
"2026-02-02T18:08:00Z",40
"2026-02-02T18:24:00Z",44
"2026-02-02T18:40:00Z",48
"2026-02-02T18:56:00Z",40
"2026-02-02T19:12:00Z",0
"2026-02-02T19:28:00Z",34
"2026-02-02T19:44:00Z",38
"2026-02-02T20:00:00Z",43
"2026-02-02T20:16:00Z",0
"2026-02-02T20:32:00Z",0
"2026-02-02T20:48:00Z",44
"2026-02-02T21:04:00Z",0
"2026-02-02T21:20:00Z",34
"2026-02-02T21:36:00Z",0
"2026-02-02T21:52:00Z",0
"2026-02-02T22:08:00Z",39
"2026-02-02T22:24:00Z",0
"2026-02-02T22:40:00Z",0
"2026-02-02T22:56:00Z",45
"2026-02-02T23:12:00Z",0
"2026-02-02T23:28:00Z",39
"2026-02-02T23:44:00Z",0
"2026-02-03T00:00:00Z",61
"2026-02-03T00:16:00Z",58
"2026-02-03T00:32:00Z",38
"2026-02-03T00:48:00Z",0
"2026-02-03T01:04:00Z",47
"2026-02-03T01:20:00Z",49
"2026-02-03T01:36:00Z",36
"2026-02-03T01:52:00Z",0
"2026-02-03T02:08:00Z",80
"2026-02-03T02:24:00Z",46
"2026-02-03T02:40:00Z",65
"2026-02-03T02:56:00Z",52
"2026-02-03T03:12:00Z",65
"2026-02-03T03:28:00Z",0
"2026-02-03T03:44:00Z",0
"2026-02-03T04:00:00Z",0
"2026-02-03T04:16:00Z",0
"2026-02-03T04:32:00Z",0
"2026-02-03T04:48:00Z",0
"2026-02-03T05:04:00Z",0
"2026-02-03T05:20:00Z",0
"2026-02-03T05:36:00Z",0
"2026-02-03T05:52:00Z",0
"2026-02-03T06:08:00Z",0
"2026-02-03T06:24:00Z",0
"2026-02-03T06:40:00Z",0
"2026-02-03T06:56:00Z",0
"2026-02-03T07:12:00Z",0
"2026-02-03T07:28:00Z",0
"2026-02-03T07:44:00Z",0
"2026-02-03T08:00:00Z",0
"2026-02-03T08:16:00Z",0
"2026-02-03T08:32:00Z",0
"2026-02-03T08:48:00Z",0
"2026-02-03T09:04:00Z",0
"2026-02-03T09:20:00Z",0
"2026-02-03T09:36:00Z",0
"2026-02-03T09:52:00Z",0
"2026-02-03T10:08:00Z",0
"2026-02-03T10:24:00Z",0
"2026-02-03T10:40:00Z",0
"2026-02-03T10:56:00Z",0
"2026-02-03T11:12:00Z",0
"2026-02-03T11:28:00Z",0
"2026-02-03T11:44:00Z",0
"2026-02-03T12:00:00Z",100
"2026-02-03T12:16:00Z",0
"2026-02-03T12:32:00Z",0
"2026-02-03T12:48:00Z",90
"2026-02-03T13:04:00Z",69
"2026-02-03T13:20:00Z",0
"2026-02-03T13:36:00Z",70
"2026-02-03T13:52:00Z",46
"2026-02-03T14:08:00Z",54
"2026-02-03T14:24:00Z",62
"2026-02-03T14:40:00Z",49
"2026-02-03T14:56:00Z",67
"2026-02-03T15:12:00Z",61
"2026-02-03T15:28:00Z",53